Station_ID,Station_Name,Date,pH,DO,BOD5,COD,TSS,NH4,NO3,PO4,Turbidity,Temperature,Group
ST001,Song Sai Gon - Binh Phuoc,2024-01-15,7.2,5.8,12.5,28.3,45.2,1.2,4.5,0.35,18.5,28.2,A
ST001,Song Sai Gon - Binh Phuoc,2024-02-15,7.0,5.5,14.8,32.1,52.1,1.5,5.1,0.42,22.3,27.8,A
ST001,Song Sai Gon - Binh Phuoc,2024-03-15,6.8,4.9,18.2,38.5,61.3,2.1,5.8,0.55,28.1,29.1,A
ST001,Song Sai Gon - Binh Phuoc,2024-04-15,6.5,4.2,22.5,45.2,75.8,2.8,6.5,0.72,35.2,30.5,A
ST002,Kenh Nhieu Loc,2024-01-15,6.5,3.2,35.2,68.5,95.3,4.5,8.2,1.25,45.8,28.5,B
ST002,Kenh Nhieu Loc,2024-02-15,6.3,2.8,42.1,78.2,112.5,5.8,9.5,1.55,52.1,28.1,B
ST002,Kenh Nhieu Loc,2024-03-15,6.1,2.5,48.5,85.3,125.8,6.5,10.2,1.82,58.5,29.5,B
ST002,Kenh Nhieu Loc,2024-04-15,5.8,2.1,55.2,95.1,145.2,7.8,11.5,2.15,65.2,30.8,B
ST003,Song Dong Nai - Bien Hoa,2024-01-15,7.5,6.5,8.2,18.5,28.3,0.8,3.2,0.18,12.5,27.5,A
ST003,Song Dong Nai - Bien Hoa,2024-02-15,7.3,6.2,9.5,21.2,32.1,0.9,3.8,0.22,14.8,27.2,A
ST003,Song Dong Nai - Bien Hoa,2024-03-15,7.1,5.8,11.2,25.5,38.5,1.1,4.2,0.28,17.2,28.8,A
ST003,Song Dong Nai - Bien Hoa,2024-04-15,6.9,5.5,13.5,28.8,42.1,1.3,4.8,0.32,19.5,29.5,A
ST004,Kenh Tau Hu,2024-01-15,5.5,1.8,62.5,105.2,165.8,8.5,12.8,2.55,72.1,28.8,C
ST004,Kenh Tau Hu,2024-02-15,5.2,1.5,72.1,118.5,185.2,9.8,14.2,2.85,82.5,28.5,C
ST004,Kenh Tau Hu,2024-03-15,5.0,1.2,85.2,135.8,210.5,11.2,15.8,3.25,95.2,29.8,C
ST004,Kenh Tau Hu,2024-04-15,4.8,0.8,95.5,152.1,235.8,12.5,17.5,3.55,105.8,30.2,C
ST005,Song Vam Co,2024-01-15,7.0,5.2,15.2,32.5,48.5,1.5,5.2,0.42,20.5,27.8,A
ST005,Song Vam Co,2024-02-15,6.8,4.8,18.5,38.2,55.2,1.8,5.8,0.52,25.2,27.5,A
ST005,Song Vam Co,2024-03-15,6.5,4.5,22.1,42.5,62.8,2.2,6.5,0.62,28.8,29.2,A
ST005,Song Vam Co,2024-04-15,6.2,4.1,25.8,48.2,72.5,2.5,7.2,0.75,32.5,30.1,A
ST006,Kenh Ben Nghe,2024-01-15,6.2,2.5,48.5,82.1,128.5,5.5,9.8,1.65,55.2,28.2,B
ST006,Kenh Ben Nghe,2024-02-15,6.0,2.2,55.2,92.5,145.8,6.2,11.2,1.85,62.1,28.0,B
ST006,Kenh Ben Nghe,2024-03-15,5.8,1.8,62.8,105.2,168.2,7.5,12.5,2.15,72.5,29.5,B
ST006,Kenh Ben Nghe,2024-04-15,5.5,1.5,72.5,118.5,185.5,8.5,14.2,2.45,85.2,30.5,B
